"2023-11-17 16:26:32","J.K. Rowling",176.169.28.227
"2023-11-17 16:27:11","Albert Camus",176.169.28.227
"2023-11-17 16:33:28","Elly Griffiths",176.169.28.227
"2023-11-17 16:55:15","Albert Camus",2a09:bac5:34d1:ea0::175:61
"2023-11-19 16:55:20","Sara Wood",176.169.28.227
"2023-11-19 16:55:52","Raven Kennedy",176.169.28.227
"2023-11-19 18:37:46","Harry Lyman Koopman",176.169.28.227
"2023-11-20 17:17:40","Jodi Picoult",2a09:bac5:34d6:d2::15:345
"2023-11-23 22:44:12","Émile Zola",176.186.21.88
"2023-11-24 12:49:26","Lounès Matoub",2a09:bac5:34d4:ea0::175:16
"2023-12-06 20:48:03","Chris G, Andrew Tate",2001:861:324b:d1b0:21a0:7683:3aae:6baa
"2023-12-14 10:32:56","Émile Zola",194.167.235.232
"2024-01-11 10:57:16","James Clear",2a09:bac5:34d7:ebe::178:111
"2024-01-22 12:39:53","Émile Zola",193.54.115.18
"2024-02-06 13:26:31","Anna Mazzola",176.169.28.227
"2024-03-14 14:33:14","Kai BIRD, Martin J.SHERWIN",194.167.235.232
"2024-04-25 17:29:41","Émile Zola",2001:861:324b:d1b0:ad38:3006:2b03:85c5
